Product,Active Ingredient,Seasonal Max,Max Applications,Class,PHI (days),Effect on Adults,Effect on Nymphs
Brigade,bifenthrin,6.4,9999,Pyrethroid,30,Excellent,Excellent
Sniper,bifenthrin,6.4,9999,Pyrethroid,30,Excellent,Excellent
Mustang Maxx,zeta-cypermethrin,24.0,9999,Pyrethroid,1,Excellent,Good
Baythroid,beta-cyfluthrin,12.8,9999,Pyrethroid,3,Excellent,Excellent
Danitol,fenpropathrin,51.24,9999,Pyrethroid,21,Excellent,Excellent
Actara,thiamethoxam,7,9999,Neonicotinoid,5,Excellent,Excellent
Scorpion,dinotefuran,10.25,9999,Neonicotinoid,1,Excellent,Poor
Venom,dinotefuran,12,9999,Neonicotinoid,1,Excellent,Poor
Admire Pro,imidacloprid,14,9999,Neonicotinoid,30,Variable,Variable
Imidan,phosmet,100,9999,Organophosphate,7,Good,Good
Malathion,malathion,999999,2,Organophosphate,3,Excellent,Excellent
Sevin,carbaryl,320,2,Carbamate,7,Excellent,Excellent
Avant,indoxacarb,11.5,9999,Sodium channel blocker,7,Good,Good
Aza-Direct,neem,99999999,9999,Botanical,0,Good,Good
BoteGHA ES,Beauveria,99999999,9999,Pathogen,0,Not Recommended,Not Recommended
PFR-97,Isaria,,Pathogen,0,,
,,,,,,
https://portal.ct.gov/-/media/CAES/CAPS/CAES-SLF-Management-Vineyards-Factsheet.pdf,,,,,,
https://extension.psu.edu/spotted-lanternfly-management-guide,,,,,,
Seasonal Max are in fl oz
